office_name,date,monthly_registrations
Moradabad,2025-04-01,1618.6864
Moradabad,2025-05-01,1747.2413
Muzaffarnagar,2024-06-01,434.45175
Muzaffarnagar,2024-07-01,456.00876
Muzaffarnagar,2024-08-01,478.59354
Muzaffarnagar,2024-09-01,497.05762
Muzaffarnagar,2024-10-01,480.64255
Muzaffarnagar,2024-11-01,474.0687
Muzaffarnagar,2024-12-01,464.27817
Muzaffarnagar,2025-01-01,578.2375
Muzaffarnagar,2025-02-01,656.1165
Muzaffarnagar,2025-03-01,755.4567
Muzaffarnagar,2025-04-01,835.25574
Muzaffarnagar,2025-05-01,933.06213
Noida,2024-06-01,1665.4019
Noida,2024-07-01,1752.137
Noida,2024-08-01,1889.9307
Noida,2024-09-01,1964.2456
Noida,2024-10-01,2006.0475
Noida,2024-11-01,2032.8596
Noida,2024-12-01,2044.8995
Noida,2025-01-01,2135.7214
Noida,2025-02-01,2195.6655
Noida,2025-03-01,2252.7297
Noida,2025-04-01,2277.8472
Noida,2025-05-01,2302.326
Orai,2024-06-01,190.32231
Orai,2024-07-01,156.41348
Orai,2024-08-01,150.88843
Orai,2024-09-01,145.06036
Orai,2024-10-01,106.43494
Orai,2024-11-01,98.92112
Orai,2024-12-01,80.56254
Orai,2025-01-01,142.12384
Orai,2025-02-01,149.23
Orai,2025-03-01,164.87889
Orai,2025-04-01,151.37811
Orai,2025-05-01,145.77638
