date,office_name,office_code,fuel_type,registrations
2023-04-01,Ayodhya Rto,UP42,Electric(Bov),254
2023-08-01,Ayodhya Rto,UP42,Electric(Bov),455
2023-12-01,Ayodhya Rto,UP42,Electric(Bov),376
2023-02-01,Ayodhya Rto,UP42,Electric(Bov),201
2023-01-01,Ayodhya Rto,UP42,Electric(Bov),233
2023-07-01,Ayodhya Rto,UP42,Electric(Bov),342
2023-06-01,Ayodhya Rto,UP42,Electric(Bov),331
2023-03-01,Ayodhya Rto,UP42,Electric(Bov),259
2023-05-01,Ayodhya Rto,UP42,Electric(Bov),293
2023-11-01,Ayodhya Rto,UP42,Electric(Bov),408
2023-10-01,Ayodhya Rto,UP42,Electric(Bov),321
2023-09-01,Ayodhya Rto,UP42,Electric(Bov),409
2024-04-01,Ayodhya Rto,UP42,Electric(Bov),671
2024-04-01,Ayodhya Rto,UP42,Pure Ev,25
2024-02-01,Ayodhya Rto,UP42,Electric(Bov),293
2024-01-01,Ayodhya Rto,UP42,Electric(Bov),287
2024-03-01,Ayodhya Rto,UP42,Electric(Bov),527
2024-03-01,Ayodhya Rto,UP42,Pure Ev,7
2024-05-01,Ayodhya Rto,UP42,Electric(Bov),738
2024-05-01,Ayodhya Rto,UP42,Pure Ev,78
2020-04-01,Azamgarh Rto,UP50,Electric(Bov),9
2020-08-01,Azamgarh Rto,UP50,Electric(Bov),55
2020-12-01,Azamgarh Rto,UP50,Electric(Bov),95
2020-02-01,Azamgarh Rto,UP50,Electric(Bov),47
2020-01-01,Azamgarh Rto,UP50,Electric(Bov),65
2020-07-01,Azamgarh Rto,UP50,Electric(Bov),72
2020-06-01,Azamgarh Rto,UP50,Electric(Bov),51
2020-03-01,Azamgarh Rto,UP50,Electric(Bov),62
2020-05-01,Azamgarh Rto,UP50,Electric(Bov),31
2020-11-01,Azamgarh Rto,UP50,Electric(Bov),38
2020-10-01,Azamgarh Rto,UP50,Electric(Bov),34
2020-09-01,Azamgarh Rto,UP50,Electric(Bov),78
2021-04-01,Azamgarh Rto,UP50,Electric(Bov),27
2021-08-01,Azamgarh Rto,UP50,Electric(Bov),73
2021-12-01,Azamgarh Rto,UP50,Electric(Bov),146
2021-02-01,Azamgarh Rto,UP50,Electric(Bov),84
2021-01-01,Azamgarh Rto,UP50,Electric(Bov),106
2021-07-01,Azamgarh Rto,UP50,Electric(Bov),48
2021-06-01,Azamgarh Rto,UP50,Electric(Bov),45
2021-03-01,Azamgarh Rto,UP50,Electric(Bov),47
2021-05-01,Azamgarh Rto,UP50,Electric(Bov),20
2021-11-01,Azamgarh Rto,UP50,Electric(Bov),140
2021-10-01,Azamgarh Rto,UP50,Electric(Bov),115
2021-09-01,Azamgarh Rto,UP50,Electric(Bov),113
2022-04-01,Azamgarh Rto,UP50,Electric(Bov),95
2022-08-01,Azamgarh Rto,UP50,Electric(Bov),128
2022-12-01,Azamgarh Rto,UP50,Electric(Bov),205
2022-02-01,Azamgarh Rto,UP50,Electric(Bov),93
2022-01-01,Azamgarh Rto,UP50,Electric(Bov),124
2022-07-01,Azamgarh Rto,UP50,Electric(Bov),117
2022-06-01,Azamgarh Rto,UP50,Electric(Bov),93
2022-03-01,Azamgarh Rto,UP50,Electric(Bov),117
2022-05-01,Azamgarh Rto,UP50,Electric(Bov),112
2022-11-01,Azamgarh Rto,UP50,Electric(Bov),219
2022-10-01,Azamgarh Rto,UP50,Electric(Bov),168
2022-09-01,Azamgarh Rto,UP50,Electric(Bov),178
2023-04-01,Azamgarh Rto,UP50,Electric(Bov),183
2023-08-01,Azamgarh Rto,UP50,Electric(Bov),240
2023-12-01,Azamgarh Rto,UP50,Electric(Bov),362
2023-02-01,Azamgarh Rto,UP50,Electric(Bov),166
2023-01-01,Azamgarh Rto,UP50,Electric(Bov),173
2023-07-01,Azamgarh Rto,UP50,Electric(Bov),220
2023-06-01,Azamgarh Rto,UP50,Electric(Bov),188
2023-03-01,Azamgarh Rto,UP50,Electric(Bov),174
2023-05-01,Azamgarh Rto,UP50,Electric(Bov),205
2023-11-01,Azamgarh Rto,UP50,Electric(Bov),292
2023-10-01,Azamgarh Rto,UP50,Electric(Bov),243
2023-09-01,Azamgarh Rto,UP50,Electric(Bov),250
2024-04-01,Azamgarh Rto,UP50,Electric(Bov),256
2024-04-01,Azamgarh Rto,UP50,Pure Ev,5
2024-02-01,Azamgarh Rto,UP50,Electric(Bov),261
2024-01-01,Azamgarh Rto,UP50,Electric(Bov),278
2024-03-01,Azamgarh Rto,UP50,Electric(Bov),280
2024-03-01,Azamgarh Rto,UP50,Pure Ev,1
2024-05-01,Azamgarh Rto,UP50,Electric(Bov),260
2024-05-01,Azamgarh Rto,UP50,Pure Ev,56
2020-04-01,Badaun,UP24,Electric(Bov),7
2020-08-01,Badaun,UP24,Electric(Bov),11
2020-12-01,Badaun,UP24,Electric(Bov),31
2020-02-01,Badaun,UP24,Electric(Bov),8
2020-01-01,Badaun,UP24,Electric(Bov),37
2020-07-01,Badaun,UP24,Electric(Bov),25
2020-06-01,Badaun,UP24,Electric(Bov),8
2020-03-01,Badaun,UP24,Electric(Bov),22
2020-11-01,Badaun,UP24,Electric(Bov),12
2020-10-01,Badaun,UP24,Electric(Bov),4
2020-09-01,Badaun,UP24,Electric(Bov),10
2021-04-01,Badaun,UP24,Electric(Bov),17
2021-08-01,Badaun,UP24,Electric(Bov),32
2021-12-01,Badaun,UP24,Electric(Bov),79
2021-02-01,Badaun,UP24,Electric(Bov),71
2021-01-01,Badaun,UP24,Electric(Bov),70
2021-07-01,Badaun,UP24,Electric(Bov),19
